country,chart,indicator_id,visualisation_id,file,rows,title,data_status
SI,supply,,27401542,output/by_country/SI/2_podudarni_proizvodnja.csv,961,Podudarne sektorske varijable Slovenije,loaded
SI,demand,,27401543,output/by_country/SI/3_podudarni_potrosnja_trgovina.csv,686,Podudarne varijable potrošnje Slovenije,loaded
SI,external,,27401536,output/by_country/SI/4_vanjska_trgovina.csv,548,Podudarne varijable vanjske trgovine Slovenije,loaded
SI,lagging,,27401541,output/by_country/SI/5_kasni_indikatori_stecaj.csv,681,Zaostajuće varijable poslovnog ciklusa Slovenije,loaded
NL,all,,27401573,output/by_country/NL/6_svi_indikatori.csv,2611,Ekonomski semafor: Nizozemska,upload in editor
NL,leading,,30291729,output/by_country/NL/1_vodeci_indikatori.csv,693,Vodeće varijable Nizozemske,loaded
NL,supply,,30291733,output/by_country/NL/2_podudarni_proizvodnja.csv,824,Podudarne sektorske varijable Nizozemske,loaded
NL,demand,,30291737,output/by_country/NL/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Nizozemske,loaded
NL,lagging,,30291742,output/by_country/NL/5_kasni_indikatori_stecaj.csv,682,Zaostajuće varijable poslovnog ciklusa Nizozemske,loaded
IE,all,,27401574,output/by_country/IE/6_svi_indikatori.csv,2059,Ekonomski semafor: Irska,upload in editor
IE,leading,,30291731,output/by_country/IE/1_vodeci_indikatori.csv,690,Vodeće varijable Irske,loaded
IE,supply,,30291735,output/by_country/IE/2_podudarni_proizvodnja.csv,550,Podudarne sektorske varijable Irske,loaded
IE,demand,,30291740,output/by_country/IE/3_podudarni_potrosnja_trgovina.csv,411,Podudarne varijable potrošnje Irske,loaded
IE,lagging,,30291746,output/by_country/IE/5_kasni_indikatori_stecaj.csv,545,Zaostajuće varijable poslovnog ciklusa Irske,loaded
ES,all,,27401576,output/by_country/ES/6_svi_indikatori.csv,2470,Ekonomski semafor: Španjolska,upload in editor
ES,leading,,30291730,output/by_country/ES/1_vodeci_indikatori.csv,827,Vodeće varijable Španjolske,loaded
ES,supply,,30291734,output/by_country/ES/2_podudarni_proizvodnja.csv,687,Podudarne sektorske varijable Španjolske,loaded
ES,demand,,30291738,output/by_country/ES/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Španjolske,loaded
ES,lagging,,30291743,output/by_country/ES/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Španjolske,loaded
CY,all,,27401581,output/by_country/CY/6_svi_indikatori.csv,2333,Ekonomski semafor: Cipar,upload in editor
CY,leading,,30291744,output/by_country/CY/1_vodeci_indikatori.csv,690,Vodeće varijable Cipra,loaded
CY,supply,,30291748,output/by_country/CY/2_podudarni_proizvodnja.csv,687,Podudarne sektorske varijable Cipra,loaded
CY,demand,,30291751,output/by_country/CY/3_podudarni_potrosnja_trgovina.csv,549,Podudarne varijable potrošnje Cipra,loaded
CY,lagging,,30291755,output/by_country/CY/5_kasni_indikatori_stecaj.csv,544,Zaostajuće varijable poslovnog ciklusa Cipra,loaded
,indicator,building_permits,30291728,output/by_indicator/building_permits.csv,2844,Ekonomski semafor po zemljama: Građevinske dozvole,upload in editor
,indicator,registrations,30291732,output/by_indicator/registrations.csv,1373,Ekonomski semafor po zemljama: Registracija novih poduzeća,upload in editor
,indicator,cars_registered,30291794,output/by_indicator/cars_registered.csv,131,Ekonomski semafor po zemljama: Novo registrirana osobna vozila (DZS),loaded
,indicator,trucks_registered,30291796,output/by_indicator/trucks_registered.csv,131,Ekonomski semafor po zemljama: Novo registrirana teretna vozila (DZS),loaded
,indicator,esi,30291736,output/by_indicator/esi.csv,2911,Ekonomski semafor po zemljama: Indeks ekonomskog raspoloženja (ESI),upload in editor
,indicator,consumer_confidence,30291741,output/by_indicator/consumer_confidence.csv,2915,Ekonomski semafor po zemljama: Pouzdanje potrošača,upload in editor
,indicator,order_books,30291747,output/by_indicator/order_books.csv,2911,Ekonomski semafor po zemljama: Knjige narudžbi u industriji,upload in editor
,indicator,term_spread,30291749,output/by_indicator/term_spread.csv,2919,Ekonomski semafor po zemljama: Kamatni raspon europodručja (10 g. minus 3 mj.),upload in editor
,indicator,gdp,30291752,output/by_indicator/gdp.csv,2871,Ekonomski semafor po zemljama: BDP,upload in editor
,indicator,industrial_production,30291756,output/by_indicator/industrial_production.csv,2880,Ekonomski semafor po zemljama: Industrijska proizvodnja,upload in editor
,indicator,construction,30291759,output/by_indicator/construction.csv,1917,Ekonomski semafor po zemljama: Građevinarstvo,upload in editor
,indicator,total_production,30291765,output/by_indicator/total_production.csv,816,Ekonomski semafor po zemljama: Ukupna proizvodnja,loaded
,indicator,overnight_stays,30291768,output/by_indicator/overnight_stays.csv,2331,Ekonomski semafor po zemljama: Broj noćenja,upload in editor
,indicator,insured_persons,30291770,output/by_indicator/insured_persons.csv,138,Ekonomski semafor po zemljama: Broj osiguranika (HZMO),loaded
,indicator,gva,30291773,output/by_indicator/gva.csv,2868,Ekonomski semafor po zemljama: Realna bruto dodana vrijednost,upload in editor
,indicator,capacity_utilisation,30291777,output/by_indicator/capacity_utilisation.csv,2915,Ekonomski semafor po zemljama: Iskorištenost kapaciteta u industriji,upload in editor
,indicator,retail,30291784,output/by_indicator/retail.csv,2759,Ekonomski semafor po zemljama: Trgovina na malo,upload in editor
,indicator,wholesale,30291786,output/by_indicator/wholesale.csv,1508,Ekonomski semafor po zemljama: Veleprodaja,upload in editor
,indicator,household_consumption,30291788,output/by_indicator/household_consumption.csv,2868,Ekonomski semafor po zemljama: Potrošnja kućanstava,upload in editor
,indicator,investment,30291791,output/by_indicator/investment.csv,2868,Ekonomski semafor po zemljama: Investicije,upload in editor
,indicator,exports_goods,30291750,output/by_indicator/exports_goods.csv,2189,Ekonomski semafor po zemljama: Izvoz dobara,upload in editor
,indicator,exports_services,30291754,output/by_indicator/exports_services.csv,2189,Ekonomski semafor po zemljama: Izvoz usluga,upload in editor
,indicator,imports_goods,30291758,output/by_indicator/imports_goods.csv,2189,Ekonomski semafor po zemljama: Uvoz dobara,upload in editor
,indicator,imports_services,30291762,output/by_indicator/imports_services.csv,2189,Ekonomski semafor po zemljama: Uvoz usluga,upload in editor
,indicator,bankruptcies,30291769,output/by_indicator/bankruptcies.csv,1236,Ekonomski semafor po zemljama: Stečajne prijave,upload in editor
,indicator,unemployment,30291771,output/by_indicator/unemployment.csv,2899,Ekonomski semafor po zemljama: Nezaposlenost,upload in editor
,indicator,npl,30291774,output/by_indicator/npl.csv,2778,Ekonomski semafor po zemljama: Neprihodonosni krediti (ECB),upload in editor
,indicator,house_prices,30291776,output/by_indicator/house_prices.csv,2680,Ekonomski semafor po zemljama: Indeks cijena stambenih nekretnina,upload in editor
,indicator,loans_nfc,30291783,output/by_indicator/loans_nfc.csv,2760,Ekonomski semafor po zemljama: Krediti nefinancijskim poduzećima (ECB),upload in editor
